"sample"	"PC1: 52% variance"	"PC2: 11% variance"
"X1N"	-28.5870325095059	4.82228721418751
"X1T"	36.5592730065212	-10.2005303934847
"X2T"	13.3756769023086	36.1586276082804
"X3N"	-29.9993094428012	2.74500438686152
"X3T"	38.0162923955621	-7.20908596932578
"X4N"	-39.8738064836505	-7.92146716793731
"X5N"	-26.7215231548081	-11.7671508713461
"X5T"	37.2304292863736	-6.62768480723557
