sample	X1N	X1T	X2T	X3N	X3T	X4N	X5N	X5T
X1N	0	77.9145410515714	64.700056517173	48.3001223804465	78.3909616885797	49.7040589282765	50.4501407150798	77.8314242296842
X1T	77.9145410515714	0	59.2611439294158	78.8965981477317	47.2137746852475	85.738597838917	76.6255570030722	48.8547666258127
X2T	64.700056517173	59.2611439294158	0	65.9462753577684	58.4051538502041	73.7110522486973	67.1746354598046	58.5374340817979
X3N	48.3001223804465	78.8965981477317	65.9462753577684	0	79.2637833799078	49.340585040049	50.5608150982793	78.8880873378451
X3T	78.3909616885797	47.2137746852475	58.4051538502041	79.2637833799078	0	86.2725370673763	77.4383482833852	46.3407139257626
X4N	49.7040589282765	85.738597838917	73.7110522486973	49.340585040049	86.2725370673763	0	51.0409201820599	86.4679087084768
X5N	50.4501407150798	76.6255570030722	67.1746354598046	50.5608150982793	77.4383482833852	51.0409201820599	0	76.8176459428078
X5T	77.8314242296842	48.8547666258127	58.5374340817979	78.8880873378451	46.3407139257626	86.4679087084768	76.8176459428078	0
